epoch,loss,lr,val_loss
0,0.0026738853193819523,0.00051,0.0003839125274680555
1,0.0002528706390876323,0.00051,0.0003184321103617549
2,0.00022797401470597833,0.00051,0.00031446112552657723
3,0.00016871572006493807,0.00051,0.00016514572780579329
4,9.491811943007633e-05,0.00051,0.00013045710511505604
5,8.593304664827883e-05,0.00051,0.00011896746582351625
6,8.278543100459501e-05,0.00051,0.00011037352669518441
7,8.131541108014062e-05,0.00051,0.0001261691504623741
8,8.044266724027693e-05,0.00051,0.00011570400965865701
9,7.969701255206019e-05,0.00051,0.00011368572450010106
10,7.918836490716785e-05,0.00051,0.00011635170812951401
11,7.873088179621845e-05,0.00051,0.00011475243809400126
12,7.856775482650846e-05,0.00051,0.00013154720363672823
13,7.528282003477216e-05,0.000255,0.00011419080692576244
14,7.439403998432681e-05,0.000255,0.0001057935951394029
15,7.206825830508024e-05,0.000255,9.958272858057171e-05
16,7.019717304501683e-05,0.000255,0.00010007846867665648
17,6.88525105942972e-05,0.000255,9.693062020232901e-05
18,6.765820580767468e-05,0.000255,9.403130388818681e-05
19,6.667108391411602e-05,0.000255,9.439615678275004e-05
20,6.486602796940133e-05,0.000255,9.069464431377128e-05
21,6.381191633408889e-05,0.000255,9.776980004971847e-05
22,6.14809468970634e-05,0.0001275,9.048401261679828e-05
23,6.124234641902149e-05,0.0001275,8.728449756745249e-05
24,6.089043745305389e-05,0.0001275,8.735169831197709e-05
25,6.0747941461158916e-05,0.0001275,8.82765234564431e-05
26,6.046065391274169e-05,0.0001275,8.803332457318902e-05
27,6.0220314480829984e-05,0.0001275,8.968000474851578e-05
28,6.020847649779171e-05,0.0001275,9.062310709850863e-05
29,5.9943100495729595e-05,0.0001275,8.525386510882527e-05
30,5.983036317047663e-05,0.0001275,8.590162178734317e-05
31,5.890613465453498e-05,6.375e-05,8.843348769005388e-05
32,5.8791596529772505e-05,6.375e-05,8.943544526118785e-05
33,5.8772497141035274e-05,6.375e-05,8.683512714924291e-05
34,5.868122752872296e-05,6.375e-05,8.683540363563225e-05
35,5.863022306584753e-05,6.375e-05,8.661286847200245e-05
36,5.852573667652905e-05,6.375e-05,8.824822725728154e-05
37,5.8500598242972046e-05,6.375e-05,9.097763540921733e-05
38,5.84811314183753e-05,6.375e-05,8.88584108906798e-05
39,5.8399309637025e-05,6.375e-05,8.606885239714757e-05
40,5.792353840661235e-05,3.1875e-05,8.886434807209298e-05
41,5.790467912447639e-05,3.1875e-05,8.738991164136678e-05
